Loan ID,Borrower Name,Branch,RM,Province,City / Town,Loan Product,Sector,Collateral Type,Issue Date,Maturity Date,Tenor (Mo),"Loan Amt
(USD)","Outstanding
(USD)","Int Rate
(%)","Annual Income
(USD)","DTI
(%)",DSCR,"Credit
Score","Emp Length
(Yrs)","Collateral
Value (USD)","LTV
(%)","Revol Util
(%)",DPD,"Missed
Pmts","Part
Pmts","Bank Bal
Trend","Inflation
Exp","Forex
Income",Loan Status
CNB-011550,Tendai Mahove,Chitungwiza Branch,R. Ncube,Midlands,Gweru,Salary-Backed Loan,Real estate,Commercial property,16/6/2021,14/9/2021,3,"$2,200",$616,29.30%,"$9,600",46.00%,1.52x,612,15,"$1,509",40.80%,59.90%,7,2,2,Declining,High,No,Special mention
CNB-011551,Mudiwa Mapfumo,Gweru Branch,L. Charamba,Midlands,Kwekwe,Green Energy Loan,ICT & telecoms,Stock/inventory pledge,4/3/2019,11/2/2023,48,"$2,300",$644,19.50%,"$9,200",29.60%,2.39x,669,3,$764,84.30%,28.90%,0,0,0,Stable,Medium,Yes,Performing
CNB-011552,Lungelo Charamba,Victoria Falls Branch,M. Ndlovu,Matabeleland South,Beitbridge,School Fees Loan,Agriculture,Commercial property,15/9/2019,8/3/2021,18,"$11,600","$3,248",22.30%,"$25,800",30.90%,3.19x,740,10,"$5,268",61.70%,37.90%,0,0,0,Stable,Low,No,Performing
CNB-011553,Enias Majoni,Gweru Branch,T. Chinyoka,Mashonaland West,Kariba,Import Finance,Manufacturing,Personal guarantee,4/9/2020,30/8/2021,12,"$4,300","$1,204",37.90%,"$31,500",52.40%,0.81x,461,7,"$2,410",50.00%,88.40%,14,4,2,Stable,Medium,No,Watch
CNB-011554,Nokuthula Nkala,Harare Main,F. Moyo,Bulawayo Metropolitan,Bulawayo,Microfinance Loan,Manufacturing,Motor vehicle,27/11/2022,22/11/2023,12,"$2,300",$644,34.40%,"$9,400",64.60%,1.06x,459,5,$538,119.70%,65.80%,14,2,1,Declining,High,No,Watch
CNB-011555,Tichaona Chirwa,Chitungwiza Branch,G. Mutasa,Matabeleland North,Victoria Falls,Salary-Backed Loan,Agriculture,Personal guarantee,31/5/2024,26/5/2025,12,"$5,900","$4,449",34.20%,"$16,600",67.10%,0.93x,546,25,"$7,460",59.60%,78.20%,0,1,2,Declining,High,No,Special mention
CNB-011556,Kudakwashe Muchena,Gweru Branch,L. Charamba,Masvingo,Chiredzi,Equipment Finance,Health & pharmaceuticals,Fixed deposit cession,10/12/2021,8/6/2022,6,"$11,100","$3,108",44.90%,"$13,500",62.90%,0.62x,376,3,"$4,139",75.10%,88.60%,90,3,4,Severely declining,High,No,Non-performing
CNB-011557,Tino Musarurwa,Chitungwiza Branch,D. Rusike,Harare Metropolitan,Harare,Transport Fleet Finance,Food & beverages,Personal guarantee,21/5/2024,12/11/2025,18,"$2,200","$1,810",30.30%,"$4,300",53.10%,1.05x,470,10,"$4,949",36.60%,91.80%,0,1,2,Severely declining,High,No,Watch
CNB-011558,Rangarirai Mutasa,Chitungwiza Branch,E. Mapfumo,Matabeleland North,Hwange,Agro-processing Loan,Agriculture,Fixed deposit cession,11/2/2020,9/8/2020,6,"$8,000","$2,240",35.30%,"$55,000",69.30%,0.85x,538,20,"$1,347",166.30%,73.80%,45,4,0,Declining,Medium,Yes,Watch
CNB-011559,Nozipho Mawere,Mutare Branch,C. Sibanda,Mashonaland East,Marondera,Salary-Backed Loan,Real estate,Stock/inventory pledge,12/6/2022,4/12/2023,18,"$15,700","$4,396",16.50%,"$86,500",21.80%,2.94x,827,5,"$6,653",66.10%,18.20%,0,1,0,Stable,Medium,Yes,Performing
CNB-011560,Simbarashe Chiweshe,Chitungwiza Branch,R. Ncube,Harare Metropolitan,Chitungwiza,Import Finance,Agriculture,Commercial property,24/3/2021,19/3/2022,12,"$17,700","$4,956",22.00%,"$57,600",44.50%,1.13x,674,2,"$5,500",90.10%,70.30%,7,1,2,Stable,High,No,Special mention
CNB-011561,Tariro Tembo,Chitungwiza Branch,T. Chinyoka,Midlands,Kwekwe,Export Finance,Transport & logistics,Residential property,4/7/2020,29/6/2021,12,"$1,100",$308,45.00%,"$6,100",69.50%,0.88x,350,3,$372,82.80%,90.10%,60,5,4,Severely declining,Medium,No,Non-performing
CNB-011562,Phenias Vera,Victoria Falls Branch,F. Moyo,Mashonaland West,Chegutu,Import Finance,Manufacturing,Equipment & machinery,19/3/2020,9/3/2022,24,"$3,000",$840,37.20%,"$7,100",55.60%,0.76x,466,7,$793,105.90%,77.60%,30,3,0,Stable,High,No,Watch
CNB-011563,Tamara Nhiwatiwa,Beitbridge Branch,B. Makoni,Bulawayo Metropolitan,Bulawayo,Salary-Backed Loan,Financial services,Company guarantee,18/3/2024,9/9/2025,18,"$9,700","$7,152",20.60%,"$62,400",28.30%,2.39x,792,5,"$15,531",46.00%,11.00%,0,1,1,Improving,Medium,No,Performing
CNB-011564,Tendai Kariwo,Mutare Branch,G. Mutasa,Manicaland,Mutare,Import Finance,Retail trade,Agricultural land,15/3/2023,9/3/2024,12,"$38,600","$10,808",42.60%,"$270,000",83.50%,0.56x,427,25,"$15,737",68.70%,91.70%,120,2,3,Declining,High,No,Non-performing
CNB-011565,Lucky Chikwanda,Victoria Falls Branch,G. Mutasa,Harare Metropolitan,Harare,Equipment Finance,Education,Commercial property,2/7/2021,22/6/2023,24,"$10,700","$2,996",26.40%,"$44,100",35.80%,1.22x,642,2,"$3,291",91.00%,42.60%,14,0,2,Stable,High,No,Special mention
CNB-011566,Munyaradzi Makamba,Harare Main,C. Sibanda,Mashonaland West,Kadoma,School Fees Loan,Agriculture,Motor vehicle,3/3/2020,25/8/2021,18,"$13,300","$3,724",31.40%,"$101,300",48.40%,1.18x,570,1,"$6,904",53.90%,39.10%,0,2,1,Declining,Medium,Yes,Special mention
CNB-011567,Blessed Gova,Chitungwiza Branch,P. Mhlanga,Manicaland,Mutare,Green Energy Loan,Retail trade,Company guarantee,31/10/2023,20/10/2025,24,"$16,000","$10,624",46.60%,"$111,500",97.50%,0.70x,290,0,"$17,316",61.40%,98.10%,180,7,2,Declining,High,No,Non-performing
CNB-011568,Tawanda Sithole,Bulawayo Main,B. Makoni,Harare Metropolitan,Harare,Microfinance Loan,Health & pharmaceuticals,Salary cession,25/2/2024,9/2/2027,36,"$13,500","$11,529",43.50%,"$37,300",64.00%,0.84x,399,5,"$21,517",53.60%,82.00%,150,5,4,Severely declining,High,No,Non-performing
CNB-011569,Mudiwa Sakala,Gweru Branch,E. Mapfumo,Harare Metropolitan,Harare,Export Finance,Retail trade,Fixed deposit cession,28/3/2020,18/3/2022,24,"$7,100","$1,988",39.20%,"$50,000",55.50%,1.17x,540,5,"$2,929",67.90%,86.70%,0,2,3,Stable,Medium,No,Watch
CNB-011570,Sibonelo Gova,Chitungwiza Branch,T. Chinyoka,Harare Metropolitan,Harare,Export Finance,Agriculture,Residential property,20/9/2021,14/3/2023,18,"$25,400","$7,112",22.80%,"$160,000",21.70%,2.20x,834,5,"$12,735",55.80%,6.20%,0,1,1,Improving,Medium,Yes,Performing
CNB-011571,Nozipho Majoni,Victoria Falls Branch,T. Chinyoka,Bulawayo Metropolitan,Bulawayo,Export Finance,Textiles & clothing,Agricultural land,7/3/2023,1/3/2024,12,"$16,700","$4,676",17.60%,"$65,500",31.50%,4.00x,735,10,"$8,852",52.80%,40.70%,0,0,1,Improving,Low,No,Performing
CNB-011572,Ropah Nyagura,Chinhoyi Branch,G. Mutasa,Midlands,Kwekwe,Export Finance,Manufacturing,Commercial property,31/7/2022,15/7/2025,36,"$16,900","$7,966",23.20%,"$55,000",9.80%,3.04x,803,3,"$18,342",43.40%,17.10%,0,0,1,Stable,Low,Yes,Performing
CNB-011573,Ruramai Makuyana,Victoria Falls Branch,G. Mutasa,Masvingo,Masvingo,Salary-Backed Loan,Manufacturing,Personal guarantee,11/3/2019,1/9/2020,18,"$6,300","$1,764",26.80%,"$18,600",45.60%,1.34x,611,2,"$4,076",43.30%,56.90%,0,2,2,Declining,Medium,Yes,Performing
CNB-011574,Tafadzwa Zvobgo,Chitungwiza Branch,F. Moyo,Manicaland,Chipinge,Microfinance Loan,Construction,Commercial property,21/3/2023,10/3/2025,24,"$9,800","$4,312",23.00%,"$34,100",53.40%,1.27x,606,5,"$4,438",97.20%,48.70%,7,1,2,Stable,Medium,No,Special mention
CNB-011575,Chisomo Nkala,Gweru Branch,C. Sibanda,Harare Metropolitan,Harare,Equipment Finance,Manufacturing,Fixed deposit cession,28/9/2023,17/9/2025,24,"$40,600","$25,619",23.70%,"$139,800",11.50%,1.97x,808,7,"$52,223",49.10%,34.10%,0,1,1,Improving,Low,No,Performing
CNB-011576,Munyaradzi Shumba,Beitbridge Branch,N. Gumbo,Manicaland,Mutare,Transport Fleet Finance,Retail trade,Residential property,9/1/2019,4/1/2020,12,"$69,400","$19,432",32.60%,"$296,400",55.60%,1.12x,412,7,"$11,873",163.70%,90.70%,60,1,1,Severely declining,High,Yes,Watch
CNB-011577,Ruvimbo Mahove,Beitbridge Branch,S. Dube,Mashonaland West,Chegutu,Property Development Loan,Agriculture,Share pledge,1/8/2019,16/7/2022,36,"$61,900","$17,332",17.70%,"$206,500",8.50%,2.77x,824,7,"$17,928",96.70%,12.20%,0,0,1,Stable,Medium,No,Performing
CNB-011578,Nozipho Nkomo,Chitungwiza Branch,D. Rusike,Mashonaland West,Norton,Equipment Finance,Agriculture,Fixed deposit cession,22/3/2021,17/3/2022,12,"$5,500","$1,540",34.80%,"$42,100",73.90%,1.15x,450,5,"$2,612",59.00%,67.70%,60,4,0,Declining,Medium,No,Watch
CNB-011579,Nyasha Magaya,Chitungwiza Branch,G. Mutasa,Masvingo,Chiredzi,Youth Enterprise Loan,Retail trade,Commercial property,16/5/2022,14/8/2022,3,"$7,900","$2,212",26.50%,"$47,000",48.90%,1.64x,607,5,"$4,454",49.70%,51.80%,14,2,2,Declining,Low,No,Special mention
CNB-011580,Loveness Ndudzo,Gweru Branch,P. Mhlanga,Masvingo,Chiredzi,Export Finance,Manufacturing,Salary cession,20/12/2022,4/12/2025,36,"$13,000","$7,358",32.10%,"$42,300",51.80%,1.02x,509,3,"$5,833",126.20%,83.50%,60,2,1,Declining,High,No,Watch
CNB-011581,Spiwe Mhaka,Chitungwiza Branch,A. Nkomo,Harare Metropolitan,Harare,Transport Fleet Finance,Health & pharmaceuticals,Fixed deposit cession,29/4/2019,20/10/2020,18,$700,$196,18.00%,"$1,300",12.70%,1.78x,823,15,$362,54.20%,5.40%,0,1,0,Improving,Low,Yes,Performing
CNB-011582,Nozipho Musarurwa,Masvingo Branch,P. Mhlanga,Harare Metropolitan,Chitungwiza,Agro-processing Loan,Manufacturing,Agricultural land,27/10/2022,1/10/2027,60,"$3,200","$2,298",30.40%,"$8,000",43.50%,1.76x,609,25,"$5,397",42.60%,63.60%,7,0,2,Declining,Medium,No,Special mention
CNB-011583,Nomvula Tapfuma,Mutare Branch,A. Nkomo,Harare Metropolitan,Harare,Microfinance Loan,Financial services,Commercial vehicle,16/1/2019,9/7/2020,18,"$26,300","$7,364",39.40%,"$106,100",62.70%,0.37x,351,7,"$8,251",89.30%,79.60%,150,6,2,Declining,High,No,Non-performing
CNB-011584,Rumbidzai Mhike,Gweru Branch,T. Chinyoka,Masvingo,Masvingo,Digital Business Loan,Agriculture,Residential property,6/9/2023,26/8/2025,24,"$3,500","$2,132",29.30%,"$9,600",46.00%,1.25x,595,5,"$5,290",40.30%,45.70%,14,1,0,Declining,Low,Yes,Special mention
CNB-011585,Tichaona Tshababala,Beitbridge Branch,T. Chinyoka,Mashonaland West,Chinhoyi,Youth Enterprise Loan,Hospitality & tourism,Salary cession,7/6/2021,2/6/2022,12,"$41,700","$11,676",19.70%,"$56,200",26.40%,1.73x,726,5,"$27,838",41.90%,10.90%,0,0,0,Improving,Low,Yes,Performing
CNB-011586,Ropafadzo Ushamba,Beitbridge Branch,C. Sibanda,Manicaland,Mutare,Import Finance,Hospitality & tourism,Salary cession,9/5/2020,31/10/2021,18,"$3,500",$980,20.60%,"$7,100",22.60%,3.01x,826,7,"$2,549",38.40%,13.60%,0,1,1,Stable,Low,Yes,Performing
CNB-011587,Bongani Mwanza,Victoria Falls Branch,N. Gumbo,Mashonaland West,Chinhoyi,Export Finance,Agro-processing,Agricultural land,6/1/2020,29/6/2021,18,$800,$224,30.10%,"$1,400",62.30%,1.09x,514,3,$578,38.70%,70.60%,60,2,1,Declining,Medium,No,Watch
CNB-011588,Givemore Mwale,Harare Main,R. Ncube,Masvingo,Masvingo,Green Energy Loan,Manufacturing,Stock/inventory pledge,6/6/2020,1/6/2021,12,"$81,600","$22,848",25.30%,"$575,200",36.50%,1.86x,525,7,"$37,206",61.40%,41.90%,0,1,2,Stable,High,No,Special mention
CNB-011589,Tsungirirai Makamba,Chinhoyi Branch,N. Gumbo,Harare Metropolitan,Chitungwiza,Salary-Backed Loan,Energy & utilities,Salary cession,29/5/2021,20/11/2022,18,"$2,000",$560,21.40%,"$11,300",26.50%,2.90x,690,3,"$1,426",39.30%,28.00%,0,0,1,Declining,Low,Yes,Performing
CNB-011590,Sekai Tshuma,Mutare Branch,T. Chinyoka,Harare Metropolitan,Harare,Agricultural Input Finance,Retail trade,Residential property,13/5/2022,9/11/2022,6,$300,$84,30.00%,"$1,400",47.60%,1.85x,612,5,$106,79.30%,67.80%,14,0,0,Stable,High,No,Special mention
CNB-011591,Chisomo Charamba,Gweru Branch,N. Gumbo,Mashonaland East,Marondera,Agro-processing Loan,Health & pharmaceuticals,Residential property,22/9/2021,12/9/2023,24,"$3,700","$1,036",24.40%,"$9,200",41.90%,1.69x,544,1,"$1,159",89.40%,39.00%,7,1,2,Stable,Medium,No,Special mention
CNB-011592,Bongani Musekiwa,Masvingo Branch,S. Dube,Bulawayo Metropolitan,Bulawayo,SME Working Capital Loan,Agriculture,Commercial property,13/6/2023,2/6/2025,24,"$4,700","$2,463",23.70%,"$35,500",54.10%,1.85x,666,1,"$3,816",64.50%,39.00%,0,0,0,Declining,Medium,No,Special mention
CNB-011593,Sandile Ushamba,Beitbridge Branch,G. Mutasa,Mashonaland West,Chinhoyi,Digital Business Loan,Informal trade,Equipment & machinery,11/6/2021,8/12/2021,6,"$4,300","$1,204",21.20%,"$15,400",12.50%,1.72x,700,3,"$1,473",81.70%,24.50%,0,0,1,Declining,Low,No,Performing
CNB-011594,Mthokozisi Ntuli,Harare Main,M. Ndlovu,Masvingo,Chiredzi,Women in Business Loan,Food & beverages,Equipment & machinery,10/6/2020,5/6/2021,12,"$99,100","$27,748",18.70%,"$711,600",8.90%,2.49x,687,1,"$63,064",44.00%,21.70%,0,1,0,Improving,Medium,Yes,Performing
CNB-011595,Trust Ushamba,Kwekwe Branch,L. Charamba,Harare Metropolitan,Harare,Youth Enterprise Loan,Agriculture,Share pledge,17/4/2019,1/4/2022,36,"$14,000","$3,920",30.60%,"$65,800",50.50%,0.89x,452,5,"$8,461",46.30%,76.50%,14,4,1,Declining,High,No,Watch
CNB-011596,Tino Mukai,Mutare Branch,G. Mutasa,Masvingo,Masvingo,Equipment Finance,Retail trade,Commercial property,11/7/2023,1/1/2025,18,"$4,300","$1,731",27.00%,"$27,300",49.20%,1.39x,554,5,"$2,539",68.20%,50.80%,0,0,0,Declining,Low,No,Special mention
CNB-011597,Thabo Msipha,Chinhoyi Branch,S. Dube,Harare Metropolitan,Chitungwiza,Women in Business Loan,Agriculture,Company guarantee,16/11/2022,9/5/2024,18,"$57,500","$16,100",22.60%,"$176,100",9.50%,2.72x,807,15,"$23,453",68.60%,20.20%,0,1,0,Stable,Medium,Yes,Performing
CNB-011598,Kudakwashe Khumalo,Kwekwe Branch,E. Mapfumo,Mashonaland West,Kariba,Transport Fleet Finance,Education,Agricultural land,9/7/2021,29/6/2023,24,"$10,700","$2,996",50.40%,"$19,900",77.60%,0.32x,309,20,"$3,530",84.90%,98.90%,30,3,1,Declining,High,No,Non-performing
CNB-011599,Primrose Phiri,Mutare Branch,E. Mapfumo,Matabeleland North,Victoria Falls,Digital Business Loan,Manufacturing,Commercial vehicle,28/3/2019,18/9/2020,18,"$1,600",$448,38.80%,"$9,600",79.60%,0.62x,307,5,$990,45.30%,82.70%,90,7,4,Severely declining,High,No,Non-performing
CNB-011600,Nkosana Hwata,Beitbridge Branch,N. Gumbo,Manicaland,Mutare,Trade Finance Facility,Mining,Fixed deposit cession,18/5/2024,3/5/2027,36,"$21,100","$19,187",29.10%,"$133,400",37.00%,1.77x,527,20,"$38,767",49.50%,44.70%,14,1,2,Declining,Medium,No,Special mention
CNB-011601,Mthulisi Mahachi,Gweru Branch,F. Moyo,Mashonaland Central,Bindura,Medical Finance,Hospitality & tourism,Equipment & machinery,16/12/2019,10/12/2020,12,"$4,700","$1,316",47.50%,"$36,800",85.70%,0.44x,280,2,"$1,832",71.80%,93.00%,150,4,4,Severely declining,High,No,Non-performing
CNB-011602,Trust Dziva,Masvingo Branch,S. Dube,Matabeleland North,Victoria Falls,School Fees Loan,Construction,No collateral,6/5/2022,1/5/2023,12,"$32,200","$9,016",17.60%,"$98,100",12.30%,2.83x,812,25,$0,,39.20%,0,0,1,Stable,Low,Yes,Performing
CNB-011603,Sibonelo Tumbare,Mutare Branch,N. Gumbo,Midlands,Gokwe,SME Working Capital Loan,Retail trade,Salary cession,4/3/2022,22/2/2024,24,"$87,800","$24,584",18.40%,"$162,600",31.00%,2.26x,699,15,"$43,315",56.80%,25.30%,0,1,1,Stable,Low,Yes,Performing
CNB-011604,Ngonidzashe Nyagura,Gweru Branch,F. Moyo,Midlands,Gweru,Women in Business Loan,Real estate,No collateral,7/5/2022,5/8/2022,3,"$5,700","$1,596",19.00%,"$29,900",15.30%,3.78x,784,1,$0,,6.20%,0,1,1,Improving,Low,Yes,Performing
CNB-011605,Nomthandazo Tshababala,Chinhoyi Branch,A. Nkomo,Matabeleland North,Hwange,Equipment Finance,Education,Company guarantee,14/8/2021,19/7/2026,60,"$4,100","$2,224",31.50%,"$19,000",48.50%,1.68x,609,7,"$5,818",38.20%,67.80%,0,1,0,Declining,Medium,No,Special mention
CNB-011606,Ropah Nhema,Masvingo Branch,S. Dube,Harare Metropolitan,Harare,Export Finance,Education,Motor vehicle,17/8/2023,21/7/2028,60,"$4,700","$3,927",38.40%,"$37,100",50.60%,1.01x,404,3,"$10,815",36.30%,88.80%,14,2,3,Declining,High,No,Watch
CNB-011607,Patience Makuyana,Beitbridge Branch,N. Gumbo,Harare Metropolitan,Harare,Medical Finance,Agriculture,Stock/inventory pledge,24/12/2020,14/12/2022,24,"$15,700","$4,396",21.40%,"$101,300",25.10%,2.02x,827,15,"$7,427",59.20%,24.40%,0,0,1,Stable,Low,Yes,Performing
CNB-011608,Trust Taruvinga,Chitungwiza Branch,H. Zimba,Harare Metropolitan,Harare,Medical Finance,Health & pharmaceuticals,Personal guarantee,18/4/2022,2/4/2025,36,"$21,500","$8,643",33.00%,"$91,200",63.90%,1.13x,532,0,"$7,174",120.50%,73.60%,0,3,2,Severely declining,Medium,No,Watch
CNB-011609,Mthulisi Kariwo,Gweru Branch,B. Makoni,Harare Metropolitan,Harare,SME Working Capital Loan,Mining,No collateral,7/8/2019,17/7/2023,48,$300,$84,23.10%,"$1,000",19.30%,3.70x,690,3,$0,,36.60%,0,0,0,Improving,Low,No,Performing
CNB-011610,Enias Mutasa,Victoria Falls Branch,D. Rusike,Masvingo,Masvingo,Agricultural Input Finance,Manufacturing,Residential property,20/10/2021,15/10/2022,12,"$6,000","$1,680",17.30%,"$37,600",12.20%,1.68x,770,10,"$4,537",37.00%,5.90%,0,1,0,Declining,Medium,No,Performing
CNB-011611,Ropafadzo Pfukwa,Chinhoyi Branch,E. Mapfumo,Harare Metropolitan,Harare,Digital Business Loan,ICT & telecoms,Agricultural land,14/6/2021,19/5/2026,60,"$2,600","$1,347",23.40%,"$15,300",37.20%,1.54x,592,7,"$1,226",109.90%,63.90%,0,1,0,Declining,Low,Yes,Special mention
CNB-011612,Nyasha Nkomazana,Masvingo Branch,R. Ncube,Midlands,Redcliff,Microfinance Loan,Agriculture,Residential property,15/2/2020,13/8/2020,6,"$1,200",$336,17.30%,"$3,600",21.50%,2.12x,746,5,$805,41.70%,36.10%,0,1,0,Stable,Medium,Yes,Performing
CNB-011613,Tonderai Nkomazana,Bulawayo Main,H. Zimba,Bulawayo Metropolitan,Bulawayo,Property Development Loan,Manufacturing,Residential property,9/5/2023,30/10/2024,18,"$2,100",$669,36.70%,"$11,100",65.80%,0.95x,533,5,"$1,332",50.20%,89.90%,45,1,1,Severely declining,Medium,No,Watch
CNB-011614,Sibonelo Nyoni,Beitbridge Branch,G. Mutasa,Mashonaland West,Chinhoyi,Export Finance,Financial services,Commercial vehicle,18/1/2020,11/7/2021,18,"$1,800",$504,41.00%,"$10,000",78.80%,0.32x,321,0,"$1,309",38.50%,95.20%,60,6,1,Declining,High,Yes,Non-performing
CNB-011615,Tsitsi Mpofu,Victoria Falls Branch,S. Dube,Manicaland,Rusape,Youth Enterprise Loan,Health & pharmaceuticals,Personal guarantee,4/6/2024,20/5/2027,36,"$3,700","$3,406",41.80%,"$22,300",76.40%,0.64x,307,1,"$2,997",113.70%,91.70%,150,5,1,Severely declining,High,No,Non-performing
CNB-011616,Danai Mutsvairo,Mutare Branch,F. Moyo,Mashonaland West,Norton,Green Energy Loan,Retail trade,Residential property,16/3/2019,28/2/2022,36,"$19,300","$5,404",16.80%,"$107,100",27.00%,2.08x,670,2,"$5,587",96.70%,9.60%,0,1,0,Stable,Medium,Yes,Performing
CNB-011617,Onai Sithole,Chitungwiza Branch,P. Mhlanga,Manicaland,Mutare,Import Finance,Agriculture,Motor vehicle,28/11/2023,17/11/2025,24,"$9,900","$6,851",49.80%,"$17,400",88.70%,0.40x,432,3,"$9,230",74.20%,93.20%,45,2,2,Severely declining,High,No,Watch
CNB-011618,Rutendo Sakala,Victoria Falls Branch,A. Nkomo,Harare Metropolitan,Harare,Trade Finance Facility,Retail trade,Commercial property,21/5/2024,12/11/2025,18,"$10,000","$8,227",26.40%,"$18,700",54.70%,1.88x,553,15,"$12,007",68.50%,60.80%,0,1,1,Stable,Medium,No,Special mention
CNB-011619,Chipo Mahove,Kwekwe Branch,R. Ncube,Harare Metropolitan,Harare,Trade Finance Facility,Retail trade,Fixed deposit cession,13/2/2024,17/1/2029,60,"$7,200","$6,535",24.00%,"$22,400",26.40%,3.10x,806,15,"$13,082",50.00%,22.90%,0,0,1,Stable,Low,No,Performing
CNB-011620,Nomvula Mamvura,Gweru Branch,C. Sibanda,Harare Metropolitan,Harare,Transport Fleet Finance,Agriculture,Salary cession,20/2/2023,15/2/2024,12,"$16,400","$4,592",51.60%,"$65,100",83.90%,0.75x,397,10,"$5,888",78.00%,97.30%,90,4,2,Severely declining,High,No,Non-performing
CNB-011621,Dorcas Manyere,Bulawayo Main,T. Chinyoka,Mashonaland West,Chinhoyi,Agro-processing Loan,Financial services,Salary cession,17/3/2021,13/9/2021,6,"$17,400","$4,872",28.40%,"$82,400",54.10%,1.23x,635,5,"$4,045",120.50%,44.30%,14,0,1,Improving,High,No,Special mention
CNB-011622,Sithembile Pfukwa,Mutare Branch,C. Sibanda,Masvingo,Chiredzi,SME Working Capital Loan,Agriculture,Residential property,15/10/2020,30/9/2023,36,"$2,400",$672,36.30%,"$14,900",65.70%,0.88x,439,10,"$1,396",48.10%,83.00%,0,4,3,Declining,Medium,No,Watch
CNB-011623,Dzikamai Banda,Harare Main,N. Gumbo,Harare Metropolitan,Harare,Digital Business Loan,Informal trade,Commercial vehicle,1/6/2019,16/5/2022,36,"$1,300",$364,30.40%,"$9,800",35.10%,1.49x,547,5,$921,39.50%,56.70%,30,2,0,Stable,Medium,No,Special mention
CNB-011624,Nomatter Nyagura,Beitbridge Branch,E. Mapfumo,Harare Metropolitan,Harare,Property Development Loan,Retail trade,Company guarantee,2/11/2020,12/10/2024,48,"$7,900","$2,255",22.80%,"$16,400",28.40%,1.39x,560,0,"$5,418",41.60%,53.70%,7,1,0,Stable,Low,No,Special mention
CNB-011625,Edmore Mawere,Mutare Branch,B. Makoni,Bulawayo Metropolitan,Bulawayo,School Fees Loan,Retail trade,Agricultural land,19/6/2024,29/5/2028,48,"$21,300","$20,192",39.40%,"$70,200",56.40%,1.09x,446,10,"$36,077",56.00%,90.00%,90,1,0,Severely declining,Medium,No,Watch
CNB-011626,Rudo Mwale,Harare Main,H. Zimba,Bulawayo Metropolitan,Bulawayo,Green Energy Loan,Informal trade,No collateral,14/12/2022,9/12/2023,12,"$27,300","$7,644",23.40%,"$141,400",12.70%,2.42x,705,15,$0,,32.50%,0,0,1,Improving,Low,No,Performing
CNB-011627,Kudzie Chirwa,Mutare Branch,G. Mutasa,Mashonaland East,Marondera,Youth Enterprise Loan,Financial services,Commercial property,12/2/2022,7/2/2023,12,$300,$84,22.40%,"$2,100",31.10%,1.76x,701,15,$106,79.10%,31.00%,0,0,0,Improving,Medium,Yes,Performing
CNB-011628,Mxolisi Nyandoro,Mutare Branch,F. Moyo,Matabeleland South,Beitbridge,Medical Finance,Hospitality & tourism,Fixed deposit cession,10/11/2020,31/10/2022,24,"$2,000",$560,30.10%,"$4,700",42.70%,1.57x,605,5,$666,84.10%,48.40%,14,0,2,Stable,Low,Yes,Special mention
CNB-011629,Gamuchirai Nkomazana,Chitungwiza Branch,D. Rusike,Harare Metropolitan,Harare,Green Energy Loan,Agriculture,Residential property,15/6/2024,12/12/2024,6,"$14,100","$8,009",19.10%,"$23,100",14.50%,3.03x,849,5,"$15,382",52.10%,19.60%,0,0,0,Stable,Low,No,Performing
CNB-011630,Tongesai Phiri,Beitbridge Branch,G. Mutasa,Manicaland,Mutare,Digital Business Loan,Agriculture,Residential property,22/5/2021,17/5/2022,12,"$5,100","$1,428",23.00%,"$19,400",26.10%,3.78x,774,7,"$3,170",45.00%,16.60%,0,0,0,Stable,Medium,No,Performing
CNB-011631,Prosper Mnkandla,Bulawayo Main,E. Mapfumo,Mashonaland West,Kadoma,Export Finance,Construction,Stock/inventory pledge,17/9/2023,15/3/2024,6,$500,$140,30.90%,"$2,300",41.10%,1.70x,638,10,$390,35.90%,46.50%,0,1,2,Improving,High,No,Special mention
CNB-011632,Mthulisi Moyo,Chinhoyi Branch,H. Zimba,Harare Metropolitan,Harare,Property Development Loan,Retail trade,Motor vehicle,26/11/2022,19/5/2024,18,"$10,500","$2,940",16.40%,"$48,900",12.30%,2.89x,789,2,"$5,148",57.10%,34.30%,0,1,0,Stable,Medium,No,Performing
CNB-011633,Trust Gumbo,Chinhoyi Branch,B. Makoni,Harare Metropolitan,Harare,Women in Business Loan,Agriculture,Residential property,25/8/2020,15/8/2022,24,"$1,300",$364,26.40%,"$8,600",32.50%,1.84x,522,2,$625,58.20%,70.40%,14,2,2,Improving,High,No,Special mention
CNB-011634,Tinashe Nyandoro,Victoria Falls Branch,B. Makoni,Midlands,Zvishavane,Transport Fleet Finance,Hospitality & tourism,No collateral,1/4/2021,30/6/2021,3,$800,$224,28.50%,"$4,700",46.60%,1.45x,555,5,$0,,49.20%,0,0,1,Improving,High,Yes,Performing
CNB-011635,Sekai Majoni,Chinhoyi Branch,M. Ndlovu,Harare Metropolitan,Harare,Export Finance,Financial services,Agricultural land,17/6/2023,14/12/2023,6,"$8,200","$2,296",25.20%,"$42,900",36.90%,1.28x,559,3,"$1,502",152.80%,54.60%,7,0,2,Declining,Medium,Yes,Special mention
